Customer No.        ;CUSTOMER NAME LTD.
Customer Short Name ;CUSTLTD
Shipment No.        ;SHIP8481M
No. of Items        ;4
Transporter         ;DHL
Transport Date      ;10-11-97
Delivery Date       ;07-12-97
Weight              ;1890 KG

A_NUMS     ;B_NUMS                   ;CUST_NUMS              ;CUST_NUMS_2          ;QTY   ;ORD_ID             ;ITEM_ID      ;C00_ID     ;
0008481A     ;53A710100000        ;                              ;                              ;    63;                              ;11320875  ;C003064  ;
0008481A     ;53A710100000        ;                              ;                              ;   200;                              ;11330926  ;            ;
0008481A     ;53A710158000        ;                              ;                              ;     1;                              ;11320875  ;C007678  ;
0008481A     ;53A710158000        ;                              ;                              ;    10;                              ;11320875  ;C007673  ;
0008481A     ;53A710158000        ;                              ;                              ;    99;                              ;11388262  ;            ;
0008481A     ;53A710158000        ;                              ;                              ;     1;                              ;11388262  ;            ;
0008481A     ;5QAC02018000        ;                              ;                              ;    58;                              ;11320875  ;C008695  ;
0008481A     ;53AB02014000        ;                              ;                              ;    64;                              ;11388262  ;            ;
0008481A     ;53AB02014000        ;                              ;                              ;    38;                              ;11388262  ;C007685  ;
0008481A     ;5QAB0201G000        ;                              ;                              ;     7;                              ;11388262  ;C007675  ;
0008481A     ;53AB0301G000        ;                              ;                              ;     7;                              ;11320875  ;C008686  ;
0008481A     ;53AB0301G000        ;                              ;                              ;   132;                              ;11380178  ;            ;
0008481A     ;53AB0301G000        ;                              ;                              ;     5;                              ;11388262  ;C008697  ;
0008481A     ;53AB0301G000        ;                              ;                              ;    88;                              ;11380178  ;            ;
0008481A     ;53AB0301G000        ;                              ;                              ;    33;                              ;11388262  ;C007692  ;
0008481A     ;53AB0301G000        ;                              ;                              ;     3;                              ;11388262  ;C007692  ;
0008481A     ;53AB0301G000        ;                              ;                              ;    30;                              ;11320875  ;            ;
0008481A     ;53AB0301G000        ;                              ;                              ;    60;                              ;11380178  ;            ;
0008481A     ;53AB0301G000        ;                              ;                              ;     1;                              ;11388262  ;C007688  ;
0008481A     ;53AB0301G000        ;                              ;                              ;    44;                              ;11380178  ;            ;
0008481A     ;53AB0301G000        ;                              ;                              ;    41;                              ;11388262  ;C007689  ;
0008481A     ;53AB0301G000        ;                              ;                              ;     2;                              ;11388262  ;C007688  ;
